order_id,order_date,date_key,customer_id,product_id,sales_rep_id,market_id,quantity,unit_price,unit_cost,discount,sub_total
ORD-DE-00001,2022-02-20,20220220,CUST-DE-007408,PROD-0004,REP-DE-000015,1,13,1359.44,1054.49,0.05,16789.08
ORD-DE-00002,2023-04-26,20230426,CUST-DE-000636,PROD-0011,REP-DE-000004,1,5,58.06,43.01,0.1,261.27
ORD-DE-00003,2022-10-20,20221020,CUST-DE-003052,PROD-0023,REP-DE-000002,1,17,299.86,267.25,0.1,4587.86
ORD-DE-00004,2022-05-09,20220509,CUST-DE-005255,PROD-0026,REP-DE-000013,1,9,1028.45,825.1,0.1,8330.45
ORD-DE-00005,2023-08-13,20230813,CUST-DE-004054,PROD-0014,REP-DE-000022,1,1,12.71,10.22,0.05,12.07
ORD-DE-00006,2024-08-12,20240812,CUST-DE-001258,PROD-0015,REP-DE-000016,1,2,40.57,34.23,0.05,77.08
ORD-DE-00007,2022-05-21,20220521,CUST-DE-002142,PROD-0025,REP-DE-000024,1,2,595.52,442.44,0.0,1191.04
ORD-DE-00008,2022-04-03,20220403,CUST-DE-009076,PROD-0016,REP-DE-000018,1,13,565.72,405.26,0.15,6251.21
ORD-DE-00009,2024-09-15,20240915,CUST-DE-003989,PROD-0009,REP-DE-000009,1,16,384.09,311.86,0.0,6145.44
ORD-DE-00010,2023-01-09,20230109,CUST-DE-000325,PROD-0024,REP-DE-000002,1,1,457.49,345.98,0.0,457.49
ORD-DE-00011,2024-11-13,20241113,CUST-DE-007569,PROD-0022,REP-DE-000027,1,1,39.37,28.99,0.0,39.37
ORD-DE-00012,2023-08-09,20230809,CUST-DE-007392,PROD-0022,REP-DE-000025,1,11,39.37,28.99,0.0,433.07
ORD-DE-00013,2024-03-12,20240312,CUST-DE-002968,PROD-0026,REP-DE-000003,1,1,1028.45,825.1,0.0,1028.45
ORD-DE-00014,2022-08-16,20220816,CUST-DE-000149,PROD-0023,REP-DE-000022,1,1,299.86,267.25,0.0,299.86
ORD-DE-00015,2024-03-17,20240317,CUST-DE-004341,PROD-0024,REP-DE-000017,1,2,457.49,345.98,0.05,869.23
